"";"Cenario.x";"Replicacao";"Soma_DespesaTurnoverDescontado.x";"Soma_DespesaAbsenteismoDescontado.x";"Soma_DespesaMultasDescontado.x";"Soma_DespesaAcoesRegressivasINSSDescontado.x";"Soma_DespesaFAPDescontado.x";"Soma_DespesasImagemContratacaoDescontado.x";"Soma_DespesasReabilitacaoDescontado.x";"Soma_DespesasPlanodeSaudeDescontado.x";"Soma_DespesasReclamatoriasDescontado.x";"Soma_DespesasClimaDescontado.x";"Soma_DespesasMedicasDescontado.x";"Soma_DespesasRefugoERetrabalhoDescontado.x";"Soma_DespesasMPInsumosDescontado.x";"Soma_DespesaPresenteismoDescontado.x";"Soma_DespesasInterrupcaoAcidentesDescontado.x";"Soma_DespesasInterdicaoFiscalizacaoDescontado.x";"Soma_GanhoQualidadeDescontado.x";"Soma_GanhoProdutividadeDescontado.x";"Soma_GanhoImagemReceitaDescontado.x";"Soma_DespesasSeguroPatrimonialDescontado.x";"NomeIniciativa.x";"AnosDelay.x";"Cenario.y";"Soma_DespesaTurnoverDescontado.y";"Soma_DespesaAbsenteismoDescontado.y";"Soma_DespesaMultasDescontado.y";"Soma_DespesaAcoesRegressivasINSSDescontado.y";"Soma_DespesaFAPDescontado.y";"Soma_DespesasImagemContratacaoDescontado.y";"Soma_DespesasReabilitacaoDescontado.y";"Soma_DespesasPlanodeSaudeDescontado.y";"Soma_DespesasReclamatoriasDescontado.y";"Soma_DespesasClimaDescontado.y";"Soma_DespesasMedicasDescontado.y";"Soma_DespesasRefugoERetrabalhoDescontado.y";"Soma_DespesasMPInsumosDescontado.y";"Soma_DespesaPresenteismoDescontado.y";"Soma_DespesasInterrupcaoAcidentesDescontado.y";"Soma_DespesasInterdicaoFiscalizacaoDescontado.y";"Soma_GanhoQualidadeDescontado.y";"Soma_GanhoProdutividadeDescontado.y";"Soma_GanhoImagemReceitaDescontado.y";"Soma_DespesasSeguroPatrimonialDescontado.y";"NomeIniciativa.y";"AnosDelay.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioFAP";"BeneficioImagemContratacao";"BeneficioReabilitacao";"BeneficioPlanodeSaude";"BeneficioReclamatorias";"BeneficioClima";"BeneficioDespesasMedicas";"BeneficioRefugoERetrabalho";"BeneficioMPInsumos";"BeneficioPresenteismo";"BeneficioInterrupcaoAcidentes";"BeneficioInterdicaoFiscalizacao";"BeneficioGanhoQualidade";"BeneficioGanhoProdutividade";"BeneficioGanhoImagemReceita";"BeneficioSeguroPatrimonial";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"11";"ASIS";4;-5079,97506379967;-245187,809444072;-6261,64940315444;0;-1356760,78846877;-57212,6462048728;0;-2015105,07663217;-466492,700707904;-165774,138055647;-19319,5817765075;0;0;0;0;0;1,23672578702582e-05;1,23672578702582e-05;0;1,23672578702582e-05;"AS IS";0;"Iniciativa 2";-5079,97506379967;-2049026,7389835;-3346,49060724274;0;-1356760,78846877;-57212,6462048728;0;-2015105,07663217;-466492,700707904;-165774,138055647;-422587,967875193;0;0;0;0;0;0;8339,73088929415;0;20849,327228342;"Cabine de modelagem";0;55000;0;-1803838,92953943;2915,1587959117;0;0;0;0;0;0;0;-403268,386098686;0;0;0;0;0;-1,23672578702582e-05;8339,73087692689;0;20849,3272159748;-2175003,09876167;-39,5455108865758
"12";"ASIS";4;-5079,97506379967;-245187,809444072;-6261,64940315444;0;-1356760,78846877;-57212,6462048728;0;-2015105,07663217;-466492,700707904;-165774,138055647;-19319,5817765075;0;0;0;0;0;1,23672578702582e-05;1,23672578702582e-05;0;1,23672578702582e-05;"AS IS";0;"Iniciativa 3";-4529,43393086662;-2047224,75311041;-6261,64940315444;0;-1345744,96213253;-57161,6023461851;0;-2015105,07663217;-466076,506228654;-165774,138055647;-420357,170868914;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;550,541132933046;-1802036,94366634;0;0;11015,8263362409;51,0438586876626;0;0;416,194479250116;0;-401037,589092406;0;0;0;0;0;-1,23672578702582e-05;-1,23672578702582e-05;0;-1,23672578702582e-05;-2191040,92698873;-77,1571034233296
"13";"ASIS";5;-3354,66385182334;-192150,748102691;-5106,65278623131;0;-1345726,9779093;-57052,682604647;0;-2015105,07663217;-465188,411239854;-165774,138055647;-15867,8889544276;0;0;0;0;0;9,11561093348175e-06;9,11561093348175e-06;0;9,11561093348175e-06;"AS IS";0;"Iniciativa 1";-3354,66385182334;-1591530,31970514;-2729,21150375553;0;-1345726,9779093;-57052,682604647;0;-2015105,07663217;-465188,411239854;-165774,138055647;-327929,924251186;0;0;0;0;0;0;63820,009923211;0;0;"PTA";0;213283,587186668;0;-1399379,57160245;2377,44128247578;0;0;0;0;0;0;0;-312062,035296758;0;0;0;0;0;-9,11561093348175e-06;63820,0099140954;0;-9,11561093348175e-06;-1645244,15572087;-7,7138807417044
"14";"ASIS";5;-3354,66385182334;-192150,748102691;-5106,65278623131;0;-1345726,9779093;-57052,682604647;0;-2015105,07663217;-465188,411239854;-165774,138055647;-15867,8889544276;0;0;0;0;0;9,11561093348175e-06;9,11561093348175e-06;0;9,11561093348175e-06;"AS IS";0;"Iniciativa 2";-3354,66385182334;-1590998,37178806;-2729,21150375553;0;-1345726,9779093;-57052,682604647;0;-2015105,07663217;-465188,411239854;-165774,138055647;-328622,20335816;0;0;0;0;0;0;8339,7308807104;0;20849,3272197583;"Cabine de modelagem";0;55000;0;-1398847,62368537;2377,44128247578;0;0;0;0;0;0;0;-312754,314403732;0;0;0;0;0;-9,11561093348175e-06;8339,73087159479;0;20849,3272106427;-1680035,4387335;-30,5460988860637
"15";"ASIS";5;-3354,66385182334;-192150,748102691;-5106,65278623131;0;-1345726,9779093;-57052,682604647;0;-2015105,07663217;-465188,411239854;-165774,138055647;-15867,8889544276;0;0;0;0;0;9,11561093348175e-06;9,11561093348175e-06;0;9,11561093348175e-06;"AS IS";0;"Iniciativa 3";-2688,50908097435;-1589378,07427549;-5106,65278623131;0;-1345726,9779093;-56990,9195356349;0;-2015105,07663217;-464684,815919961;-165774,138055647;-326557,581059591;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;666,154770848986;-1397227,3261728;0;0;0;61,7630690120714;0;0;503,595319892687;0;-310689,692105163;0;0;0;0;0;-9,11561093348175e-06;-9,11561093348175e-06;0;-9,11561093348175e-06;-1706685,50514556;-60,1006162913588
"16";"ASIS";6;-3460,76134888948;-195849,943558141;14067,01463889;0;-1345726,9779093;-57062,5195184095;0;-2015105,07663217;-465268,618130674;-165774,138055647;-16032,9768322961;0;0;0;0;0;1,00632982343612e-05;1,00632982343612e-05;0;1,00632982343612e-05;"AS IS";0;"Iniciativa 1";-3460,76134888948;-1641070,74584045;7518,0083281693;0;-1345726,9779093;-57062,5195184095;0;-2015105,07663217;-465268,618130674;-165774,138055647;-338414,705620803;0;0;0;0;0;0;64599,1825489698;0;0;"PTA";0;213283,587186668;0;-1445220,80228231;-6549,00631072067;0;0;0;0;0;0;0;-322381,728788507;0;0;0;0;0;-1,00632982343612e-05;64599,1825389065;0;-1,00632982343612e-05;-1709552,35486276;-8,01539573397434
"17";"ASIS";6;-3460,76134888948;-195849,943558141;14067,01463889;0;-1345726,9779093;-57062,5195184095;0;-2015105,07663217;-465268,618130674;-165774,138055647;-16032,9768322961;0;0;0;0;0;1,00632982343612e-05;1,00632982343612e-05;0;1,00632982343612e-05;"AS IS";0;"Iniciativa 2";-3460,76134888948;-1640434,73951558;7518,0083281693;0;-1345726,9779093;-57062,5195184095;0;-2015105,07663217;-465268,618130674;-165774,138055647;-339060,904717597;0;0;0;0;0;0;8339,73088151676;0;20849,3272205646;"Cabine de modelagem";0;55000;0;-1444584,79595744;-6549,00631072067;0;0;0;0;0;0;0;-323027,927885301;0;0;0;0;0;-1,00632982343612e-05;8339,73087145346;0;20849,3272105013;-1744972,67208157;-31,7267758560286
"18";"ASIS";6;-3460,76134888948;-195849,943558141;14067,01463889;0;-1345726,9779093;-57062,5195184095;0;-2015105,07663217;-465268,618130674;-165774,138055647;-16032,9768322961;0;0;0;0;0;1,00632982343612e-05;1,00632982343612e-05;0;1,00632982343612e-05;"AS IS";0;"Iniciativa 3";-3460,76134888948;-1639387,72100782;14067,01463889;0;-1345726,9779093;-57062,5195184095;0;-2015105,07663217;-465268,618130674;-165774,138055647;-337271,155862085;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;0;-1443537,77744968;0;0;0;0;0;0;0;0;-321238,179029789;0;0;0;0;0;-1,00632982343612e-05;-1,00632982343612e-05;0;-1,00632982343612e-05;-1764775,95650966;-62,1462608562771
"19";"ASIS";7;-5177,42831773786;-252543,850220835;-14017,7276024181;0;-1396837,00234658;-57221,6816607636;0;-2015105,07663217;-466566,37278043;-165774,138055647;-19665,8394636731;0;0;0;0;0;1,44019641859704e-05;1,44019641859704e-05;0;1,44019641859704e-05;"AS IS";0;"Iniciativa 1";-5177,42831773786;-2126791,90484039;-6774,43216494791;0;-1396837,00234658;-57221,6816607636;0;-2015105,07663217;-466566,37278043;-165774,138055647;-437797,02530481;0;0;0;0;0;0;70266,1948131017;0;0;"PTA";0;213283,587186668;0;-1874248,05461956;7243,29543747021;0;0;0;0;0;0;0;-418131,185841137;0;0;0;0;0;-1,44019641859704e-05;70266,1947986998;0;-1,44019641859704e-05;-2214869,75025333;-10,3846234933908
"20";"ASIS";7;-5177,42831773786;-252543,850220835;-14017,7276024181;0;-1396837,00234658;-57221,6816607636;0;-2015105,07663217;-466566,37278043;-165774,138055647;-19665,8394636731;0;0;0;0;0;1,44019641859704e-05;1,44019641859704e-05;0;1,44019641859704e-05;"AS IS";0;"Iniciativa 2";-5177,42831773786;-2126510,40493253;-7491,66724868811;0;-1396837,00234658;-57221,6816607636;0;-2015105,07663217;-466566,37278043;-165774,138055647;-438643,342852927;0;0;0;0;0;0;8339,73089034977;0;20849,3272293976;"Cabine de modelagem";0;55000;0;-1873966,5547117;6526,06035373002;0;0;0;0;0;0;0;-418977,503389254;0;0;0;0;0;-1,44019641859704e-05;8339,73087594781;0;20849,3272149957;-2257228,93967068;-41,0405261758305
"21";"ASIS";7;-5177,42831773786;-252543,850220835;-14017,7276024181;0;-1396837,00234658;-57221,6816607636;0;-2015105,07663217;-466566,37278043;-165774,138055647;-19665,8394636731;0;0;0;0;0;1,44019641859704e-05;1,44019641859704e-05;0;1,44019641859704e-05;"AS IS";0;"Iniciativa 3";-4544,43057168226;-2125066,22358985;-14017,7276024181;0;-1374037,61407103;-57162,9927716571;0;-2015105,07663217;-466087,843290939;-165774,138055647;-436431,691378137;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;632,997746055597;-1872522,37336902;0;0;22799,388275546;58,6888891064955;0;0;478,529489490786;0;-416765,851914464;0;0;0;0;0;-1,44019641859704e-05;-1,44019641859704e-05;0;-1,44019641859704e-05;-2265318,62092649;-79,7727787594713
"22";"ASIS";8;-2392,51226009152;-135606,639634505;0;0;-1345726,9779093;-56963,4759551405;0;-2015105,07663217;-464461,050182293;-165774,138055647;-12404,6347830151;0;0;0;0;0;5,66600008114284e-06;5,66600008114284e-06;0;5,66600008114284e-06;"AS IS";0;"Iniciativa 1";-2091,08476196981;-1126470,56185143;0;0;-1345726,9779093;-56935,5288650898;0;-2015105,07663217;-464233,178996822;-165774,138055647;-233072,368595404;0;0;0;0;0;0;58740,6643891797;0;0;"PTA";0;213283,587186668;301,427498121713;-990863,922216928;0;0;0;27,9470900507076;0;0;227,871185471828;0;-220667,733812389;0;0;0;0;0;-5,66600008114284e-06;58740,6643835137;0;-5,66600008114284e-06;-1152233,74588349;-5,40235543241799
"23";"ASIS";8;-2392,51226009152;-135606,639634505;0;0;-1345726,9779093;-56963,4759551405;0;-2015105,07663217;-464461,050182293;-165774,138055647;-12404,6347830151;0;0;0;0;0;5,66600008114284e-06;5,66600008114284e-06;0;5,66600008114284e-06;"AS IS";0;"Iniciativa 2";-2091,08476196981;-1127036,2047186;0;0;-1345726,9779093;-56935,5288650898;0;-2015105,07663217;-464233,178996822;-165774,138055647;-233755,118252315;0;0;0;0;0;0;8339,73087215386;0;20849,3272112017;"Cabine de modelagem";0;55000;301,427498121713;-991429,565084093;0;0;0;27,9470900507076;0;0;227,871185471828;0;-221350,4834693;0;0;0;0;0;-5,66600008114284e-06;8339,73086648786;0;20849,3272055357;-1183033,74471339;-21,5097044493344
"24";"ASIS";8;-2392,51226009152;-135606,639634505;0;0;-1345726,9779093;-56963,4759551405;0;-2015105,07663217;-464461,050182293;-165774,138055647;-12404,6347830151;0;0;0;0;0;5,66600008114284e-06;5,66600008114284e-06;0;5,66600008114284e-06;"AS IS";0;"Iniciativa 3";-1726,35748924254;-1125656,21205495;0;0;-1345726,9779093;-56901,7128861284;0;-2015105,07663217;-463957,454862401;-165774,138055647;-232024,113337315;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;666,154770848986;-990049,572420448;0;0;0;61,7630690120714;0;0;503,595319892687;0;-219619,4785543;0;0;0;0;0;-5,66600008114284e-06;-5,66600008114284e-06;0;-5,66600008114284e-06;-1208437,53783199;-42,5549057247785
"25";"ASIS";9;-6279,63159496061;-245201,760316463;-99,0195603168854;0;-1422802,13064661;-57323,8733135978;0;-2015105,07663217;-467399,609193752;-165774,138055647;-19308,1700631676;0;0;0;0;0;1,54305011503495e-05;1,54305011503495e-05;0;1,54305011503495e-05;"AS IS";0;"Iniciativa 1";-5914,90432223333;-2083530,5375687;-483,31127382624;0;-1398376,42676882;-57290,0573346364;0;-2015105,07663217;-467123,885059331;-165774,138055647;-429279,665843119;0;0;0;0;0;0;70394,0206038506;0;0;"PTA";0;213283,587186668;364,727272727273;-1838328,77725224;-384,291713509355;0;24425,7038777848;33,8159789613564;0;0;275,72413442086;0;-409971,495779951;0;0;0;0;0;-1,54305011503495e-05;70394,0205884201;0;-1,54305011503495e-05;-2153190,57292425;-10,095434915204
"26";"ASIS";9;-6279,63159496061;-245201,760316463;-99,0195603168854;0;-1422802,13064661;-57323,8733135978;0;-2015105,07663217;-467399,609193752;-165774,138055647;-19308,1700631676;0;0;0;0;0;1,54305011503495e-05;1,54305011503495e-05;0;1,54305011503495e-05;"AS IS";0;"Iniciativa 2";-6279,63159496061;-2082719,33951831;-52,9202462799706;0;-1422802,13064661;-57323,8733135978;0;-2015105,07663217;-467399,609193752;-165774,138055647;-429982,427345162;0;0;0;0;0;0;8339,73088917368;0;20849,3272282216;"Cabine de modelagem";0;55000;0;-1837517,57920185;46,0993140369148;0;0;0;0;0;0;0;-410674,257281995;0;0;0;0;0;-1,54305011503495e-05;8339,73087374318;0;20849,3272127911;-2218956,6790987;-40,3446668927037
"27";"ASIS";9;-6279,63159496061;-245201,760316463;-99,0195603168854;0;-1422802,13064661;-57323,8733135978;0;-2015105,07663217;-467399,609193752;-165774,138055647;-19308,1700631676;0;0;0;0;0;1,54305011503495e-05;1,54305011503495e-05;0;1,54305011503495e-05;"AS IS";0;"Iniciativa 3";-5309,30907600698;-2081378,29213905;-99,0195603168854;0;-1386259,01779896;-57233,90909008;0;-2015105,07663217;-466666,071132156;-165774,138055647;-427645,774687398;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;970,322518953624;-1836176,53182259;0;0;36543,1128476497;89,9642235177889;0;0;733,538061596046;0;-408337,60462423;0;0;0;0;0;-1,54305011503495e-05;-1,54305011503495e-05;0;-1,54305011503495e-05;-2206177,19884139;-77,6901244538332
"28";"ASIS";10;-8225,83186692415;-338954,593505014;-30116,3127975557;0;-1368897,98008418;-57504,3168185739;0;-2015105,07663217;-468870,884926395;-165774,138055647;-25247,5691398787;0;0;0;0;0;2,10666425568439e-05;2,10666425568439e-05;0;2,10666425568439e-05;"AS IS";0;"Iniciativa 1";-8225,83186692415;-2854203,95387551;-24897,3432069102;0;-1368897,98008418;-57504,3168185739;0;-2015105,07663217;-468870,884926395;-165774,138055647;-586673,835882908;0;0;0;0;0;0;78658,6759525297;0;0;"PTA";0;213283,587186668;0;-2515249,3603705;5218,96959064552;0;0;0;0;0;0;0;-561426,266743029;0;0;0;0;0;-2,10666425568439e-05;78658,6759314631;0;-2,10666425568439e-05;-2992797,98163355;-14,0320125946411
"29";"ASIS";10;-8225,83186692415;-338954,593505014;-30116,3127975557;0;-1368897,98008418;-57504,3168185739;0;-2015105,07663217;-468870,884926395;-165774,138055647;-25247,5691398787;0;0;0;0;0;2,10666425568439e-05;2,10666425568439e-05;0;2,10666425568439e-05;"AS IS";0;"Iniciativa 2";-8225,83186692415;-2853831,8112088;-16095,4329143744;0;-1368897,98008418;-57504,3168185739;0;-2015105,07663217;-468870,884926395;-165774,138055647;-587530,635826094;0;0;0;0;0;0;8339,73090348591;0;20849,3272425338;"Cabine de modelagem";0;55000;0;-2514877,21770379;14020,8798831814;0;0;0;0;0;0;0;-562283,066686215;0;0;0;0;0;-2,10666425568439e-05;8339,73088241926;0;20849,3272214671;-3033950,346424;-55,1627335713455
