"";"Cenario.x";"Replicacao";"Soma_DespesaTurnoverDescontado.x";"Soma_DespesaAbsenteismoDescontado.x";"Soma_DespesaMultasDescontado.x";"Soma_DespesaAcoesRegressivasINSSDescontado.x";"Soma_DespesaFAPDescontado.x";"Soma_DespesasImagemContratacaoDescontado.x";"Soma_DespesasReabilitacaoDescontado.x";"Soma_DespesasPlanodeSaudeDescontado.x";"Soma_DespesasReclamatoriasDescontado.x";"Soma_DespesasClimaDescontado.x";"Soma_DespesasMedicasDescontado.x";"Soma_DespesasRefugoERetrabalhoDescontado.x";"Soma_DespesasMPInsumosDescontado.x";"Soma_DespesaPresenteismoDescontado.x";"Soma_DespesasInterrupcaoAcidentesDescontado.x";"Soma_DespesasInterdicaoFiscalizacaoDescontado.x";"Soma_GanhoQualidadeDescontado.x";"Soma_GanhoProdutividadeDescontado.x";"Soma_DespesasSeguroPatrimonialDescontado.x";"Cenario.y";"Soma_DespesaTurnoverDescontado.y";"Soma_DespesaAbsenteismoDescontado.y";"Soma_DespesaMultasDescontado.y";"Soma_DespesaAcoesRegressivasINSSDescontado.y";"Soma_DespesaFAPDescontado.y";"Soma_DespesasImagemContratacaoDescontado.y";"Soma_DespesasReabilitacaoDescontado.y";"Soma_DespesasPlanodeSaudeDescontado.y";"Soma_DespesasReclamatoriasDescontado.y";"Soma_DespesasClimaDescontado.y";"Soma_DespesasMedicasDescontado.y";"Soma_DespesasRefugoERetrabalhoDescontado.y";"Soma_DespesasMPInsumosDescontado.y";"Soma_DespesaPresenteismoDescontado.y";"Soma_DespesasInterrupcaoAcidentesDescontado.y";"Soma_DespesasInterdicaoFiscalizacaoDescontado.y";"Soma_GanhoQualidadeDescontado.y";"Soma_GanhoProdutividadeDescontado.y";"Soma_DespesasSeguroPatrimonialDescontado.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioFAP";"BeneficioImagemContratacao";"BeneficioReabilitacao";"BeneficioPlanodeSaude";"BeneficioReclamatorias";"BeneficioClima";"BeneficioDespesasMedicas";"BeneficioRefugoERetrabalho";"BeneficioMPInsumos";"BeneficioPresenteismo";"BeneficioInterrupcaoAcidentes";"BeneficioInterdicaoFiscalizacao";"BeneficioGanhoQualidade";"BeneficioGanhoProdutividade";"BeneficioSeguroPatrimonial";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"107";"ASIS";186;0;0;0;0;-437483,331298827;0;0;-140315,981039129;0;0;-24792,6571891494;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437483,331298827;0;0;-153039,438266568;0;0;-20886,1653794635;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;0;0;0;-12723,4572274391;0;0;3906,49180968587;0;0;0;0;0;0;0;0;-8816,96541775323;-0,728475804402964
"108";"ASIS";187;0;0;0;0;-420022,549751029;0;0;-167664,652783914;0;0;-22860,7706934944;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437468,176052687;0;0;-160353,803808055;0;0;-23004,2270443849;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;-17445,6263016579;0;0;7310,84897585923;0;0;-143,456350890498;0;0;0;0;0;0;0;0;-10278,2336766891;-0,0622069243821185
"109";"ASIS";187;0;0;0;0;-420022,549751029;0;0;-167664,652783914;0;0;-22860,7706934944;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437468,176052687;0;0;-153039,438266568;0;0;-20607,9533939281;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;-17445,6263016579;0;0;14625,2145173461;0;0;2252,81729956627;0;0;0;0;0;0;0;0;-567,594484745459;-0,0468958229117109
"110";"ASIS";189;0;0;0;0;-420022,582463907;0;0;-137972,973584964;0;0;-13807,2156134659;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437468,257834883;0;0;-160353,803808055;0;0;-16878,9186768052;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;-17445,6753709754;0;0;-22380,8302230912;0;0;-3071,70306333933;0;0;0;0;0;0;0;0;-42898,208657406;-0,259632705970857
"111";"ASIS";189;0;0;0;0;-420022,582463907;0;0;-137972,973584964;0;0;-13807,2156134659;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437468,257834883;0;0;-153039,438266568;0;0;-15120,6979813047;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;-17445,6753709754;0;0;-15066,4646816043;0;0;-1313,48236783878;0;0;0;0;0;0;0;0;-33825,6224204185;-2,79474244648046
"112";"ASIS";190;0;0;0;0;-437475,31472714;0;0;-145746,421614763;0;0;-22100,2160129435;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437475,31472714;0;0;-160353,803808055;0;0;-22385,2620264146;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-14607,3821932919;0;0;-285,046013471099;0;0;0;0;0;0;0;0;-14892,428206763;-0,0901334007831836
"113";"ASIS";190;0;0;0;0;-437475,31472714;0;0;-145746,421614763;0;0;-22100,2160129435;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437475,31472714;0;0;-153039,438266568;0;0;-20053,4638986631;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;0;0;0;-7293,01665180502;0;0;2046,75211428042;0;0;0;0;0;0;0;0;-5246,26453752461;-0,433457158784894
"114";"ASIS";195;0;0;0;0;-420021,474175185;0;0;-175216,115538758;0;0;-23759,9179928498;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437465,487113077;0;0;-160353,803808055;0;0;-22096,0272346624;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;-17444,0129378917;0;0;14862,3117307033;0;0;1663,89075818747;0;0;0;0;0;0;0;0;-917,810449000925;-0,00555486156416227
"115";"ASIS";197;0;0;0;0;-420022,945704399;0;0;-152177,168558924;0;0;-16153,7269289209;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437469,165936113;0;0;-160353,803808055;0;0;-19232,1894879633;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;-17446,2202317133;0;0;-8176,63524913133;0;0;-3078,46255904239;0;0;0;0;0;0;0;0;-28701,318039887;-0,173708905356344
"116";"ASIS";197;0;0;0;0;-420022,945704399;0;0;-152177,168558924;0;0;-16153,7269289209;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437469,165936113;0;0;-153039,438266568;0;0;-17228,8364163005;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;-17446,2202317133;0;0;-862,269707644416;0;0;-1075,10948737954;0;0;0;0;0;0;0;0;-19383,5994267372;-1,60151282392298
"117";"ASIS";200;0;0;0;0;-420021,894182065;0;0;-155253,637413503;0;0;-16007,4112626818;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437466,537130277;0;0;-160353,803808055;0;0;-18776,830124159;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;-17444,6429482119;0;0;-5100,16639455227;0;0;-2769,41886147723;0;0;0;0;0;0;0;0;-25314,2282042414;-0,153209231199362
"118";"ASIS";200;0;0;0;0;-420021,894182065;0;0;-155253,637413503;0;0;-16007,4112626818;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437466,537130277;0;0;-153039,438266568;0;0;-16820,9103195591;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;-17444,6429482119;0;0;2214,19914693464;0;0;-813,49905687733;0;0;0;0;0;0;0;0;-16043,9428581546;-1,32558353420055
