"Cenario.x";"Replicacao";"Soma_DespesaTurnover.x";"Soma_DespesaAbsenteismo.x";"Soma_DespesaMultas.x";"Soma_DespesaAcoesRegressivasINSS.x";"Cenario.y";"Soma_DespesaTurnover.y";"Soma_DespesaAbsenteismo.y";"Soma_DespesaMultas.y";"Soma_DespesaAcoesRegressivasINSS.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"SemIniciativa";34;-53451,5304980292;-3443559,59290071;0;-99545,4545454545;"Iniciativa1";-30117,0688348257;-2747079,49974497;0;-70909,0909090909;95454,5454545454;23334,4616632035;696480,093155738;0;28636,3636363636;748450,918455306;7,84091438381749
"SemIniciativa";35;-53917,613940402;-3492731,62793132;0;-99545,4545454545;"Iniciativa1";-30415,062746043;-2749491,06244886;0;-70909,0909090909;95454,5454545454;23502,551194359;743240,565482464;0;28636,3636363636;795379,480313186;8,33254693661433
"SemIniciativa";36;-53337,7274010605;-3441897,71126737;0;-99545,4545454545;"Iniciativa1";-30501,3706574581;-2784472,3555042;0;-70909,0909090909;95454,5454545454;22836,3567436024;657425,35576317;0;28636,3636363636;708898,076143136;7,42655127388047
"SemIniciativa";37;-52889,5931160184;-3466416,80021739;0;-99545,4545454545;"Iniciativa1";-30811,2165129207;-2752615,41414399;0;-70909,0909090909;95454,5454545454;22078,3766030977;713801,386073408;0;28636,3636363636;764516,126312869;8,00921656137291
"SemIniciativa";38;-52647,577395446;-3454100,18087843;0;-99545,4545454545;"Iniciativa1";-30589,0149940938;-2760273,99795378;0;-70909,0909090909;95454,5454545454;22058,5624013521;693826,182924651;0;28636,3636363636;744521,108962367;7,79974495103432
"SemIniciativa";39;-53282,4793412429;-3479957,9487096;0;-99545,4545454545;"Iniciativa1";-30228,2443177608;-2760455,19192895;0;-70909,0909090909;95454,5454545454;23054,2350234821;719502,75678065;0;28636,3636363636;771193,355440496;8,0791684855671
"SemIniciativa";40;-52951,4555546446;-3498269,05072634;0;-99545,4545454545;"Iniciativa1";-30507,2185273689;-2777705,5894577;0;-70909,0909090909;95454,5454545454;22444,2370272757;720563,461268635;0;28636,3636363636;771644,061932274;8,08389017262382
"SemIniciativa";41;-53463,1266084506;-3429694,50149872;0;-99545,4545454545;"Iniciativa1";-30636,4041371085;-2806067,90872238;0;-70909,0909090909;95454,5454545454;22826,7224713421;623626,592776334;0;28636,3636363636;675089,67888404;7,07236806449946
"SemIniciativa";42;-53879,7726464479;-3468754,2003005;0;-99545,4545454545;"Iniciativa1";-30430,8350426626;-2760309,88238601;0;-70909,0909090909;95454,5454545454;23448,9376037853;708444,317914485;0;28636,3636363636;760529,619154634;7,96745315304855
"SemIniciativa";43;-54234,8687317226;-3434071,30357431;0;-99545,4545454545;"Iniciativa1";-30781,5565648776;-2771183,40910744;0;-70909,0909090909;95454,5454545454;23453,312166845;662887,894466869;0;28636,3636363636;714977,570270077;7,49024121235319
"SemIniciativa";44;-53701,5810428459;-3474333,41216723;0;-99545,4545454545;"Iniciativa1";-30181,066932467;-2750448,24392585;0;-70909,0909090909;95454,5454545454;23520,5141103789;723885,168241378;0;28636,3636363636;776042,04598812;8,12996429130412
"SemIniciativa";45;-52766,968049344;-3486031,26691449;0;-99545,4545454545;"Iniciativa1";-30684,4274944492;-2787662,57042889;0;-70909,0909090909;95454,5454545454;22082,5405548948;698368,696485599;0;28636,3636363636;749087,600676857;7,84758438804327
"SemIniciativa";46;-53282,2024618444;-3458393,54458636;0;-99545,4545454545;"Iniciativa1";-30385,47393316;-2757398,29988513;0;-70909,0909090909;95454,5454545454;22896,7285286844;700995,244701225;0;28636,3636363636;752528,336866273;7,88363019574191
"SemIniciativa";47;-52895,8866159598;-3484084,19707835;0;-99545,4545454545;"Iniciativa1";-30511,9736438097;-2751797,34734688;0;-70909,0909090909;95454,5454545454;22383,9129721501;732286,849731475;0;28636,3636363636;783307,126339989;8,20607465689512
"SemIniciativa";48;-53376,9359045863;-3481871,60309346;0;-99545,4545454545;"Iniciativa1";-30530,4886356224;-2765678,81410183;0;-70909,0909090909;95454,5454545454;22846,4472689639;716192,788991632;0;28636,3636363636;767675,59989696;8,04231580844434
"SemIniciativa";49;-53204,1433695192;-3511173,59160851;0;-99545,4545454545;"Iniciativa1";-30192,4753315157;-2776273,41119979;0;-70909,0909090909;95454,5454545454;23011,6680380035;734900,180408713;0;28636,3636363636;786548,212083081;8,24002888848942
"SemIniciativa";50;-53964,2473577763;-3447286,94229365;0;-99545,4545454545;"Iniciativa1";-30712,6783503817;-2744096,01031274;0;-70909,0909090909;95454,5454545454;23251,5690073946;703190,931980907;0;28636,3636363636;755078,864624665;7,91035001035364
"SemIniciativa";51;-54189,7719027554;-3457083,40522174;0;-99545,4545454545;"Iniciativa1";-30635,0233029765;-2737759,8426125;0;-70909,0909090909;95454,5454545454;23554,7485997789;719323,562609243;0;28636,3636363636;771514,674845385;8,08253468885642
