"Cenario";"Ano";"Replicacao";"Pev_Tipico";"Pev_Trajeto";"Pev_DoenOcup";"Pev_NRelac";"TaxaFaltas";"Pev_Afmenor15";"Pev_Afmaior15";"Pev_Safast";"Pev_Obito";"CustoMedSubstitu";"DiasMedAfast_Men15";"NumeroMultasAPriori_Lei1";"Atendimento_Lei1";"PInvalidez";"Nev_AcaoRegressivaInicial";"PAcaoRegressiva";"PercPresenteismo";"DespesaMedicaMedia";"CustoMedioRefugoRetrabalho";"CustoMedioMPInsumos";"Funcionarios";"FolhadePagamento";"SalarioMedio";"DespesaSATProjetada";"SATProjetado";"FAPProjetado";"IndiceDoSAT";"HorasPorDia";"CustoMDO";"Crise";"FatorCrise";"CustoMedioMulta_Lei1";"CustoMedioAcaoRegressivaINSS";"NB_91_Inicial";"NB_92_Inicial";"NB_93_Inicial";"NB_94_Inicial";"NB_31_Inicial";"NB_32_Inicial";"CustoTotal";"Nev_Afmenor15_Tipico";"Nev_Afmaior15_Tipico";"Nev_Safast_Tipico";"Nev_Obito_Tipico";"Nev_Afmenor15_Trajeto";"Nev_Afmaior15_Trajeto";"Nev_Safast_Trajeto";"Nev_Obito_Trajeto";"Nev_Afmenor15_DoenOcup";"Nev_Afmaior15_DoenOcup";"Nev_Safast_DoenOcup";"Nev_Obito_DoenOcup";"Nev_Afmenor15_NRelac";"Nev_Afmaior15_NRelac";"Nev_Safast_NRelac";"Nev_Obito_NRelac";"NFaltas";"NSubstituidos";"DespesaTurnover";"NumeroMultas_Lei1";"DespesaMultas";"Nev_AcaoRegressivaINSS";"Nev_AcaoRegressivaINSSAcumulado";"AcoesRegressivasINSS";"DespesaAcoesRegressivasINSS";"NB_91";"NB_92";"NB_93";"NB_94";"NB_31";"NB_32";"NB_91_Acumulado";"NB_92_Acumulado";"NB_93_Acumulado";"NB_94_Acumulado";"NB_31_Acumulado";"NB_32_Acumulado";"HorasPresenteismo";"DespesaPresenteismo";"EventosDespesasMedicas";"DespesasMedicas";"EventosRefugoeRetrabalho";"DespesasRefugoERetrabalho";"EventosMPInsumos";"DespesasMPInsumos";"DiasAbsenteismo";"DespesaAbsenteismo";"CustoTotalDescontado";"DespesaTurnoverDescontado";"DespesaAbsenteismoDescontado";"DespesaMultasDescontado";"DespesaAcoesRegressivasINSSDescontado"
"Iniciativa1";2017;537;0,00300694062220117;0,00293376368320821;0,00302773696389338;0,00298988953479867;4,01443015701724;0,391796334626516;0,29927807773233;0,201521873336716;0,100376761304326;1001,68303175121;4,93978711341906;2,01579609441888;0,992898871173293;0,505878512695783;9,961952804318;0,0998339799336918;0,0100434401795198;2001,69934715712;2028,14006305101;1982,94089825597;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12043;16;-16026,9285080194;0;0;7,55290661426204;17,51485941858;2;-30000;3;5;3;6;3;2;4;6;4;7;4;3;241,042564308476;3615,63846462714;18;36030,5882488282;20;40562,8012610203;20;39658,8179651193;12122,0365938147;-1454644,39125776;50000;-16026,9285080194;-1454644,39125776;0;-30000
"Iniciativa1";2018;537;0,00297048384439765;0,00300890034381646;0,00291849826807126;0,00304473806135999;4,04666357757591;0,394408467445062;0,298026682259303;0,202216039615368;0,100268411518732;1003,90137981851;4,96292332821728;1,99529468626989;1,00196908760182;0,505090979894201;10,0946347802882;0,101850991433502;0,0100115082909587;2001,58002336886;2002,07162331939;2022,94618733843;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12140;16;-16062,4220770962;0;0;7,54581881904781;25,0606782376279;3;-45000;3;5;3;6;3;2;7;11;7;13;7;5;240,27619898301;3604,14298474515;18;36028,4404206395;20;40041,4324663879;20;40458,9237467687;12219,4067732515;-1466328,81279018;45454,5454545454;-14602,2018882693;-1333026,19344562;0;-40909,0909090909
"Iniciativa1";2017;538;0,00300267830038172;0,00296600822711033;0,00302392464359907;0,00303279392210535;3,98234745128372;0,39893741870789;0,305584994332905;0,200145130338787;0,100125488219509;1006,59069831635;4,92298445398512;1,97083463763437;1,01828165642508;0,509544945667416;9,98232604105167;0,0983638618023762;0,00995599956134001;1994,32338744944;2004,49073123574;1987,66551829649;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11947;16;-16105,4511730617;0;0;7,58590451100674;17,5682305520584;2;-30000;3;5;3;6;3;2;4;6;4;7;4;3;238,94398947216;3584,1598420824;18;35897,8209740899;20;40089,8146247148;20;39753,3103659298;12025,7677512638;-1443092,13015165;50000;-16105,4511730617;-1443092,13015165;0;-30000
"Iniciativa1";2018;538;0,00298908916319906;0,00297279237808319;0,00301391951412085;0,00302869136193454;4,00919784731504;0,407493981322607;0,300491859697156;0,197162553381665;0,0994486957634092;995,976859344362;5,07201292452755;2,00093535010098;0,993242101789251;0,503481220079696;10,1306885308157;0,101331854721943;0,0101256209954631;2012,56453126001;1995,92659902511;1992,68954034171;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12028;16;-15935,6297495098;0;0;7,53133098071726;25,0995615327757;3;-45000;3;5;3;6;3;2;7;11;7;13;7;5;243,014903891115;3645,22355836673;18;36226,1615626802;20;39918,5319805021;20;39853,7908068342;12109,1522067924;-1453098,26481509;45454,5454545454;-14486,936135918;-1320998,42255918;0;-40909,0909090909
"Iniciativa1";2017;539;0,0030195663380324;0,00297109930848211;0,00294884414341217;0,00302071859576977;3,9520281325487;0,398983851043618;0,296723518872538;0,199334322104211;0,100218763889644;989,148886396816;4,98706957169665;2,01065889462636;1,00692707875591;0,498326904619027;10,0908120712862;0,0999954360105828;0,0099739299742617;1996,71093707218;2000,90925394991;2013,24385207088;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11856;16;-15826,3821823491;0;0;7,48494214157124;17,5757542128574;2;-30000;3;4;3;6;3;1;4;5;4;7;4;2;239,374319382281;3590,61479073421;18;35940,7968672992;20;40018,1850789982;20;40264,8770414177;11935,7931131471;-1432295,17357766;50000;-15826,3821823491;-1432295,17357766;0;-30000
"Iniciativa1";2018;539;0,00305689905723133;0,00295805919018665;0,00297294773033525;0,00293794594151852;3,96618120477486;0,402390929860355;0,298676053181773;0,199834865195867;0,0994140235477751;1009,71292549768;5,02972882521944;1,99371175811389;1,01985322351458;0,49244087974879;10,0614470842629;0,0997082825756005;0,00997394431636407;2020,92924364467;1995,53862006874;2024,2873129487;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11899;16;-16155,4068079629;0;0;7,43196791773911;25,0077221305965;3;-45000;3;4;3;6;3;1;7;9;7;13;7;3;239,374663592738;3590,61995389107;18;36376,7263856041;20;39910,7724013748;20;40485,746258974;11979,4756612035;-1437537,07934442;45454,5454545454;-14686,7334617845;-1306851,89031311;0;-40909,0909090909
"Iniciativa1";2017;540;0,00299463887082213;0,00299568645516581;0,00303104125983239;0,0030421613487914;4,10262461993765;0,397127407752355;0,301469906541453;0,203506932728459;0,101422913555477;988,752689059297;4,98546477111349;2,02065673341058;1,00258243891997;0,50108503705091;10,1107319164855;0,100376757104621;0,0100798273604709;1960,82643522076;1996,60497652622;1996,7025019873;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12308;16;-15820,0430249488;0;0;7,50976533345819;17,6204972499436;2;-30000;3;5;3;6;3;2;4;6;4;7;4;3;241,915856651302;3628,73784976953;18;35294,8758339736;20;39932,0995305243;20;39934,050039746;12387,7674363378;-1486532,09236054;50000;-15820,0430249488;-1486532,09236054;0;-30000
"Iniciativa1";2018;540;0,00299465789374599;0,00301729623300736;0,00301018194733904;0,00297915769744166;3,93461758502177;0,398627723219489;0,296764985711851;0,203017467273219;0,100708323433589;1003,7703242423;5,02721257936847;1,96859585216319;0,998161473656626;0,494455341019853;9,98742693575936;0,100363129383182;0,00997376435539967;2022,44023583923;1971,51658459544;2009,36691513876;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11804;16;-16060,3251878769;0;0;7,45009806917867;25,0705953191223;3;-45000;3;4;3;6;3;1;7;10;7;13;7;4;239,370344529592;3590,55516794388;18;36403,9242451062;20;39430,3316919088;20;40187,3383027753;11884,4354012699;-1426132,24815239;45454,5454545454;-14600,2956253426;-1296483,86195672;0;-40909,0909090909
"Iniciativa1";2017;541;0,00305849448270289;0,00301750870143797;0,00302905319486647;0,00303423831451929;4,0185058972863;0,400779435056395;0,30096751154125;0,200248779767423;0,0985705055858939;991,917372144228;4,96249720907392;2,01172748830135;1,00013573255062;0,495676017122289;10,0192313990361;0,100285957533484;0,0100323906154821;2024,50176558439;1984,48499936492;1966,85964257465;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12056;16;-15870,6779543077;0;0;7,4610841541006;17,4803155531367;2;-30000;3;4;3;6;3;1;4;5;4;7;4;2;240,77737477157;3611,66062157354;18;36441,0317805191;20;39689,6999872983;20;39337,1928514929;12135,3999553452;-1456247,99464142;50000;-15870,6779543077;-1456247,99464142;0;-30000
"Iniciativa1";2018;541;0,00299861043568365;0,00297919848545086;0,00300126727252782;0,00299942833220318;3,99720137635884;0,395726763509927;0,299465176049622;0,197250926498449;0,0986347373471571;992,65021083146;4,9949883296798;2,00864815193415;1,00417785143169;0,491780597594576;9,99619971848776;0,100697211976214;0,0100705232732431;1975,5170116315;1985,92238088485;1989,18492058322;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11992;16;-15882,4033733034;0;0;7,42602537835118;24,9063409314878;3;-45000;3;4;3;6;3;1;7;9;7;13;7;3;241,692558557834;3625,38837836751;18;35559,3062093671;20;39718,4476176969;20;39783,6984116645;12071,9198132749;-1448630,37759299;45454,5454545454;-14438,5485211849;-1316936,70690271;0;-40909,0909090909
