"";"Cenario.x";"Replicacao";"Soma_DespesaTurnoverDescontado.x";"Soma_DespesaAbsenteismoDescontado.x";"Soma_DespesaMultasDescontado.x";"Soma_DespesaAcoesRegressivasINSSDescontado.x";"Soma_DespesaFAPDescontado.x";"Soma_DespesasImagemContratacaoDescontado.x";"Soma_DespesasReabilitacaoDescontado.x";"Soma_DespesasPlanodeSaudeDescontado.x";"Soma_DespesasReclamatoriasDescontado.x";"Soma_DespesasClimaDescontado.x";"Soma_DespesasMedicasDescontado.x";"Soma_DespesasRefugoERetrabalhoDescontado.x";"Soma_DespesasMPInsumosDescontado.x";"Soma_DespesaPresenteismoDescontado.x";"Soma_DespesasInterrupcaoAcidentesDescontado.x";"Soma_DespesasInterdicaoFiscalizacaoDescontado.x";"Soma_GanhoQualidadeDescontado.x";"Soma_GanhoProdutividadeDescontado.x";"Soma_DespesasSeguroPatrimonialDescontado.x";"Cenario.y";"Soma_DespesaTurnoverDescontado.y";"Soma_DespesaAbsenteismoDescontado.y";"Soma_DespesaMultasDescontado.y";"Soma_DespesaAcoesRegressivasINSSDescontado.y";"Soma_DespesaFAPDescontado.y";"Soma_DespesasImagemContratacaoDescontado.y";"Soma_DespesasReabilitacaoDescontado.y";"Soma_DespesasPlanodeSaudeDescontado.y";"Soma_DespesasReclamatoriasDescontado.y";"Soma_DespesasClimaDescontado.y";"Soma_DespesasMedicasDescontado.y";"Soma_DespesasRefugoERetrabalhoDescontado.y";"Soma_DespesasMPInsumosDescontado.y";"Soma_DespesaPresenteismoDescontado.y";"Soma_DespesasInterrupcaoAcidentesDescontado.y";"Soma_DespesasInterdicaoFiscalizacaoDescontado.y";"Soma_GanhoQualidadeDescontado.y";"Soma_GanhoProdutividadeDescontado.y";"Soma_DespesasSeguroPatrimonialDescontado.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioFAP";"BeneficioImagemContratacao";"BeneficioReabilitacao";"BeneficioPlanodeSaude";"BeneficioReclamatorias";"BeneficioClima";"BeneficioDespesasMedicas";"BeneficioRefugoERetrabalho";"BeneficioMPInsumos";"BeneficioPresenteismo";"BeneficioInterrupcaoAcidentes";"BeneficioInterdicaoFiscalizacao";"BeneficioGanhoQualidade";"BeneficioGanhoProdutividade";"BeneficioSeguroPatrimonial";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"125";"ASIS";63;0;-162572,023642488;0;0;-437479,979284074;0;0;-199223,702237646;0;0;-46781,0227012303;0;0;0;0;0;0;0;0;"Iniciativa1";0;-160593,986333701;0;0;-437479,979284074;0;0;-192297,552731718;0;0;-43912,539889023;0;0;0;0;0;0;0;0;165226,520661157;0;1978,03730878627;0;0;0;0;0;6926,14950592813;0;0;2868,4828122073;0;0;0;0;0;0;0;0;11772,6696269217;0,0712516948236466
"126";"ASIS";63;0;-162572,023642488;0;0;-437479,979284074;0;0;-199223,702237646;0;0;-46781,0227012303;0;0;0;0;0;0;0;0;"Iniciativa2";0;-144410,47703492;0;0;-437479,979284074;0;0;-179205,896278461;0;0;-40084,6058232236;0;0;0;0;0;0;0;0;12103,305785124;0;18161,5466075671;0;0;0;0;0;20017,8059591851;0;0;6696,41687800679;0;0;0;0;0;0;0;0;44875,769444759;3,70772830509788
"127";"ASIS";64;0;-146700,6268802;0;0;-449121,679324997;0;0;-142084,319982792;0;0;-25985,8076923622;0;0;0;0;0;0;0;0;"Iniciativa1";0;-145044,886588873;0;0;-437484,665865452;0;0;-136975,056158794;0;0;-23997,5167634863;0;0;0;0;0;0;0;0;165226,520661157;0;1655,74029132677;0;0;11637,0134595448;0;0;5109,26382399787;0;0;1988,29092887595;0;0;0;0;0;0;0;0;20390,3085037454;0,123408206032259
"128";"ASIS";64;0;-146700,6268802;0;0;-449121,679324997;0;0;-142084,319982792;0;0;-25985,8076923622;0;0;0;0;0;0;0;0;"Iniciativa2";0;-128965,137498033;0;0;-437484,665865452;0;0;-126312,199599279;0;0;-21248,2228189961;0;0;0;0;0;0;0;0;12103,305785124;0;17735,4893821662;0;0;11637,0134595448;0;0;15772,1203835132;0;0;4737,5848733661;0;0;0;0;0;0;0;0;49882,2080985904;4,12137055645574
"129";"ASIS";65;0;-157091,952351007;0;0;-449120,332453959;0;0;-168840,257809195;0;0;-38806,4492054596;0;0;0;0;0;0;0;0;"Iniciativa1";0;-155339,97286649;0;0;-437483,703814711;0;0;-160946,078748966;0;0;-35991,0718189571;0;0;0;0;0;0;0;0;165226,520661157;0;1751,97948451719;0;0;11636,6286392481;0;0;7894,17906022916;0;0;2815,37738650255;0;0;0;0;0;0;0;0;24098,164570497;0,145849252735383
"130";"ASIS";65;0;-157091,952351007;0;0;-449120,332453959;0;0;-168840,257809195;0;0;-38806,4492054596;0;0;0;0;0;0;0;0;"Iniciativa2";0;-139415,12208353;0;0;-437483,703814711;0;0;-151399,458535594;0;0;-32919,2781510796;0;0;0;0;0;0;0;0;12103,305785124;0;17676,8302674766;0;0;11636,6286392481;0;0;17440,7992736016;0;0;5887,17105438005;0;0;0;0;0;0;0;0;52641,4292347065;4,34934307777363
"131";"ASIS";66;0;-150047,936217757;0;0;-437476,679054192;0;0;-139756,304173395;0;0;-39303,2230167367;0;0;0;0;0;0;0;0;"Iniciativa1";0;-148209,29254835;0;0;-437476,679054192;0;0;-134077,13975577;0;0;-37013,7244353126;0;0;0;0;0;0;0;0;165226,520661157;0;1838,64366940668;0;0;0;0;0;5679,16441762581;0;0;2289,49858142405;0;0;0;0;0;0;0;0;9807,30666845654;0,0593567341926249
"132";"ASIS";66;0;-150047,936217757;0;0;-437476,679054192;0;0;-139756,304173395;0;0;-39303,2230167367;0;0;0;0;0;0;0;0;"Iniciativa2";0;-132339,227081285;0;0;-437476,679054192;0;0;-123311,892621749;0;0;-34123,0806837444;0;0;0;0;0;0;0;0;12103,305785124;0;17708,7091364714;0;0;0;0;0;16444,4115516461;0;0;5180,14233299227;0;0;0;0;0;0;0;0;39333,2630211098;3,24979503281276
"133";"ASIS";67;0;-146250,063403341;0;0;-420022,704469535;0;0;-170603,174086936;0;0;-24533,9792640321;0;0;0;0;0;0;0;0;"Iniciativa1";0;-144571,715014129;0;0;-420022,704469535;0;0;-164839,793720127;0;0;-22691,7900735264;0;0;0;0;0;0;0;0;165226,520661157;0;1678,34838921131;0;0;0;0;0;5763,38036680917;0;0;1842,18919050571;0;0;0;0;0;0;0;0;9283,9179465262;0,0561890301228666
"134";"ASIS";67;0;-146250,063403341;0;0;-420022,704469535;0;0;-170603,174086936;0;0;-24533,9792640321;0;0;0;0;0;0;0;0;"Iniciativa2";0;-128626,017324605;0;0;-420022,704469535;0;0;-152723,643581773;0;0;-20092,3918001535;0;0;0;0;0;0;0;0;12103,305785124;0;17624,0460787354;0;0;0;0;0;17879,5305051629;0;0;4441,58746387862;0;0;0;0;0;0;0;0;39945,1640477769;3,30035155328167
